// Compost colors for growable_ores. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_log_cane, #fff1d3
ad_mars_ore_ostrum_cane, #ffffe3
ad_moon_ice_shard_ore_cane, #edffff
ad_moon_ore_cheese_cane, #ffffe4
ad_moon_ore_desh_cane, #ffffee
ad_venus_calorite_ore_cane, #ffffdc
amethyst_shard_cane, #ffffff
bamboo_block_cane, #ffffc9
birch_log_cane, #ffffff
blaze_rod_cane, #ffffb8
bone_cane, #ffffff
certus_quartz_crystal_cane, #ffffff
cherry_log_cane, #fffffa
clay_cane, #ffffff
coal_cane, #dce1d2
copper_cane, #fffff5
crimson_stem_cane, #ffe7eb
dark_oak_log_cane, #ded4b6
diamond_cane, #ffffff
egg_cane, #ffffff
emerald_cane, #fcffff
ender_pearl_cane, #4dd2a8
feather_cane, #ffffff
fluix_crystal_cane, #ffffff
glowstone_cane, #ffffd7
gold_cane, #fffff2
gtm_aluminium_ingot_cane, #f7ffff
gtm_americium_ingot_cane, #bffce6
gtm_annealed_copper_ingot_cane, #ffffdd
gtm_antimony_ingot_cane, #ffffff
gtm_battery_alloy_ingot_cane, #ffffff
gtm_beryllium_ingot_cane, #ddffc8
gtm_bismuth_bronze_ingot_cane, #ffffcf
gtm_bismuth_ingot_cane, #eaffff
gtm_black_bronze_ingot_cane, #f5eed6
gtm_brass_ingot_cane, #ffffdc
gtm_bronze_ingot_cane, #ffffcf
gtm_chromium_ingot_cane, #ffffff
gtm_cobalt_ingot_cane, #fefeff
gtm_cupronickel_ingot_cane, #fffcc5
gtm_darmstadtium_ingot_cane, #ddfedd
gtm_duranium_ingot_cane, #fffff4
gtm_electrum_ingot_cane, #ffffed
gtm_enriched_naquadah_trinium_europium_duranide_ingot_cane, #fbf7e3
gtm_epoxy_ingot_cane, #ffffea
gtm_europium_ingot_cane, #e6f1c6
gtm_exquisite_almandine_cane, #f5bbae
gtm_exquisite_amethyst_cane, #ffffff
gtm_exquisite_andradite_cane, #ffffb9
gtm_exquisite_apatite_cane, #afffff
gtm_exquisite_blue_topaz_cane, #ffffff
gtm_exquisite_certus_quartz_cane, #ffffff
