// Compost colors for gtnn. You may add your own colors, change existing ones, or remove colors that aren't needed.
bohrium_strontium_carbonate_boule, #3487cf
bohrium_strontium_carbonate_wafer, #4b80ca
computer_advanced_circuit, #97a5a4
computer_circuit, #a5c675
cosmic_assembly, #626865
cosmic_computer, #686f6c
cosmic_mainframe, #828484
cosmic_processor, #706951
cosmic_smd_capacitor, #1b484a
cosmic_smd_diode, #545583
cosmic_smd_inductor, #554351
cosmic_smd_resistor, #616b4d
cosmic_smd_transistor, #486450
crystal_interface_wafer, #f2dce0
debug_structure_writer, #ff909e
diamond_chip, #87becc
diamond_modulator, #6e8e93
dubnium_boule, #5b6c37
dubnium_wafer, #6f7d55
encapsulated_plutonium, #753d3d
encapsulated_thorium, #627852
encapsulated_uranium, #698952
ender_fluid_link_cover, #afbfc2
ender_item_link_cover, #b8bcb2
enriched_plutonium, #fffbfb
enriched_plutonium_nugget, #ffffff
enriched_thorium, #d3fade
enriched_thorium_nugget, #ffffff
enriched_uranium, #ffffff
enriched_uranium_nugget, #ffffff
etched_crystal_processor, #1fc0ff
etched_crystal_processor_base, #84a1b4
etched_crystal_processor_board, #688da7
etched_crystal_processor_computer, #1fc0ff
etched_crystal_processor_computer_base, #84a1b4
etched_crystal_processor_computer_board, #688da7
etched_crystal_processor_mainframe, #1fc0ff
etched_crystal_processor_mainframe_base, #84a1b4
etched_crystal_processor_mainframe_board, #688da7
etched_micro_processor, #ffff00
etched_micro_processor_assembly, #ffff00
etched_micro_processor_assembly_base, #aefa61
etched_micro_processor_assembly_board, #9eff37
etched_micro_processor_base, #aefa61
etched_micro_processor_board, #9eff37
etched_micro_processor_computer, #ffff00
etched_micro_processor_computer_base, #aefa61
etched_micro_processor_computer_board, #9eff37
etched_micro_processor_mainframe, #ffff00
etched_micro_processor_mainframe_base, #aefa61
etched_micro_processor_mainframe_board, #9eff37
etched_nano_processor, #5cffff
etched_nano_processor_assembly, #5cffff
etched_nano_processor_assembly_base, #d7e4c9
etched_nano_processor_assembly_board, #d7e7c3
etched_nano_processor_base, #d7e4c9
etched_nano_processor_board, #d7e7c3
etched_nano_processor_computer, #5cffff
etched_nano_processor_computer_base, #d7e4c9
etched_nano_processor_computer_board, #d7e7c3
etched_quantum_processor, #18f51e
etched_quantum_processor_assembly, #18f51e
etched_quantum_processor_assembly_base, #65ee66
etched_quantum_processor_assembly_board, #3ef440
etched_quantum_processor_base, #65ee66
etched_quantum_processor_board, #3ef440
etched_quantum_processor_mainframe, #18f51e
etched_quantum_processor_mainframe_base, #65ee66
etched_quantum_processor_mainframe_board, #3ef440
etched_wetware_processor, #ff4a4a
etched_wetware_processor_assembly, #ff4a4a
etched_wetware_processor_assembly_base, #9670c9
etched_wetware_processor_assembly_board, #8658c6
etched_wetware_processor_base, #9670c9
etched_wetware_processor_board, #8658c6
etched_wetware_processor_computer, #ff4a4a
etched_wetware_processor_computer_base, #9670c9
etched_wetware_processor_computer_board, #8658c6
etched_wetware_processor_mainframe, #ff4a4a
etched_wetware_processor_mainframe_base, #9670c9
etched_wetware_processor_mainframe_board, #8658c6
europium_cubic_zirconia_boule, #bb8e9a
europium_cubic_zirconia_wafer, #dccad4
gooware_assembly, #a1d7b5
gooware_circuit_board, #d73d15
gooware_computer, #72ab96
gooware_mainframe, #86aa98
gooware_printed_circuit_board, #f49744
gooware_processor, #bfeebf
gooware_wrap_circuit_board, #d73d15
gooware_wrap_printed_circuit_board, #f49744
heavy_ingot_t1, #aea18c
heavy_ingot_t2, #726e4e
heavy_ingot_t3, #7f5f61
heavy_ingot_t4, #9d525f
